;SoC;Charge;Discharge;Energy prices;Cash flow
194;0.0;0.0;0.0;0.08023999999999999;0.0
195;0.0;0.0;0.0;0.05546;0.0
196;0.0;11.5;0.0;0.04582;-0.52693
197;10.925;2.71052631578947;0.0;0.0485;-0.1314605263157893
198;13.5;0.0;0.0;0.07429000000000001;0.0
199;13.5;0.0;0.0;0.08978;0.0
200;13.5;0.0;0.0;0.10479000000000001;0.0
201;13.5;0.0;0.0;0.14736000000000002;0.0
202;13.5;0.0;0.0;0.14948;0.0
203;13.5;0.0;0.0;0.15771000000000002;0.0
204;13.5;0.0;0.0;0.16763;0.0
205;13.5;0.0;0.0;0.16506;0.0
206;13.5;0.0;0.0;0.17009;0.0
207;13.5;0.0;0.0;0.18903999999999999;0.0
208;13.5;0.0;0.0;0.19096000000000002;0.0
209;13.5;0.0;0.0;0.2233;0.0
210;13.5;0.0;11.5;0.24394;2.80531
211;1.39473684210526;0.0;1.325;0.24;0.318
212;0.0;0.0;0.0;0.23082;0.0
213;0.0;0.0;0.0;0.21402000000000002;0.0
214;0.0;0.0;0.0;0.21588;0.0
215;0.0;0.0;11.5;0.2038;2.3437
216;0.0;0.0;0.0;0.19623;0.0
217;0.0;0.0;0.0;0.19185;0.0
218;0.0;0.0;0.0;0.19591;0.0
219;0.0;2.71052631578947;0.0;0.18666;-0.5059468421052624
220;2.575;11.5;0.0;0.17804;-2.04746
221;13.5;0.0;0.0;0.19165000000000001;0.0
222;13.5;0.0;0.0;0.23743999999999998;0.0
223;13.5;0.0;0.0;0.29995;0.0
224;13.5;0.0;1.325;0.31392000000000003;0.41594400000000004
225;12.1052631578947;0.0;11.5;0.315;3.6225
226;0.0;0.0;0.0;0.31041;0.0
227;0.0;0.0;0.0;0.31007999999999997;0.0
228;0.0;0.0;0.0;0.3;0.0
229;0.0;0.0;0.0;0.29701;0.0
230;0.0;0.0;0.0;0.29996;0.0
231;0.0;0.0;0.0;0.30273;0.0
232;0.0;0.0;0.0;0.29797;0.0
233;0.0;0.0;0.0;0.31379;0.0
234;0.0;0.0;0.0;0.31082;0.0
235;0.0;0.0;0.0;0.29498;0.0
236;0.0;0.0;0.0;0.26744999999999997;0.0
237;0.0;0.0;0.0;0.24223;0.0
238;0.0;0.0;0.0;0.21703;0.0
239;0.0;0.0;11.5;0.19893;2.287695
240;0.0;0.0;0.0;0.21034;0.0
241;0.0;0.0;0.0;0.20242;0.0
242;0.0;0.0;0.0;0.1976;0.0
243;0.0;11.5;0.0;0.193;-2.2195
244;10.925;2.71052631578947;0.0;0.19490000000000002;-0.5282815789473677
245;13.5;0.0;0.0;0.20445;0.0
246;13.5;0.0;0.0;0.23092;0.0
247;13.5;0.0;0.0;0.28661000000000003;0.0
248;13.5;0.0;11.5;0.30002;3.45023
249;1.39473684210526;0.0;1.325;0.29716000000000004;0.39373700000000006
250;0.0;0.0;0.0;0.27702;0.0
